model_name	task_type	dataset	setting	seed	AUROC	AUPR	ACC	F1	MCC	Brier	ECE	NLL	loss	train_loss_final	test_loss	run_status	run_dir	source_file	schema_note
ISG-MDA	MDA	MDR	random	0	0.9147894806974148	0.9047594362182052	0.8484288354898336	0.8481481481481481	0.6968624329205784	0.118142197096515	0.0717625314357507	0.4426885695263392		0.2485237993518539	0.4426885724838912	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_0	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	1	0.9030360699874608	0.8857671205145338	0.8262476894639557	0.8292461398728429	0.6528981535471741	0.1287769457493418	0.071306090694246	0.4645780975881194		0.2505276376606548	0.4645780989290826	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_1	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	2	0.9197368466009068	0.9010475550845992	0.8484288354898336	0.855379188712522	0.70009918803198	0.1142063682052476	0.0627375835378769	0.4118296569433829		0.2675221379124339	0.411829656461691	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_2	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	3	0.9055447740030956	0.8857153950511218	0.8308687615526802	0.840174672489083	0.6662705372660035	0.1276784297279235	0.0743744839717018	0.447279417684888		0.2485216930629089	0.4472794206658044	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_3	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	4	0.9113147078218266	0.8929548362610455	0.8391866913123844	0.8446428571428571	0.6800530454894083	0.1195055063634069	0.0482952360197392	0.4236150987282392		0.271572274936212	0.4236151000928967	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_4	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	5	0.8974121996303142	0.8774029950000051	0.8317929759704251	0.8361836183618362	0.6645413972359817	0.129295586530564	0.0622333530818594	0.4518491422558205		0.2533070450705891	0.4518491438488423	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_5	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	6	0.9164235122881226	0.8951312328664245	0.8576709796672828	0.8608852755194218	0.7161069663668633	0.113610217546418	0.0518929071910409	0.3901958018815322		0.2580356561413371	0.3901958055449942	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_6	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	7	0.9148714812372516	0.9039533588773386	0.8456561922365989	0.852863436123348	0.694653884628356	0.119184478176304	0.0643433410570182	0.4206215800341224		0.2593431409373518	0.4206215857137373	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_7	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	8	0.9208041348772212	0.901170126672445	0.8498151571164511	0.8479176415535797	0.699848242974657	0.1162856761370537	0.0605928105992817	0.4087794268798023		0.2527691455147893	0.4087794280977654	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_8	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	9	0.92070376963315	0.9042728101130462	0.8530499075785583	0.8594164456233422	0.7090139917996877	0.1114708965693198	0.044551051486327	0.3847054602971012		0.2598176857038771	0.3847054577468724	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_9	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	10	0.9167946501481132	0.8986650268431691	0.8424214417744916	0.852060737527115	0.6907329406462998	0.1165012552502142	0.0624095787350739	0.4056085474170243		0.253241901291755	0.405608543186223	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_10	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	11	0.9194032923216744	0.9031978180306706	0.8456561922365989	0.8536371603856266	0.6954604830907376	0.1160773056543076	0.0634756782970198	0.4086968176316227		0.2655829676485249	0.4086968225604285	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_11	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	12	0.9214187118398528	0.9083505845701898	0.8525878003696857	0.8610021786492374	0.710401515173932	0.1107658649030635	0.0495156962706423	0.3882448185704339		0.2531890306448821	0.3882448197292532	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_12	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	13	0.911642282895029	0.891860415406929	0.8285582255083179	0.8397408207343412	0.6636104585832416	0.124906798621436	0.0788954499739755	0.4363766470854388		0.2662188973967102	0.4363766453623111	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_13	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	14	0.9150350552307804	0.9004459390758558	0.8419593345656192	0.8453887884267631	0.684592644489604	0.1183627832422433	0.0592501339544698	0.4262465246261228		0.2478061911690232	0.42624652727254	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_14	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	15	0.9194293445765184	0.9043225326904492	0.8401109057301294	0.8485113835376532	0.6844441950597903	0.1144686403701319	0.0538112888331068	0.3876134134348805		0.2751864071846779	0.3876134156079037	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_15	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	16	0.9165311379966584	0.8926154242618587	0.8498151571164511	0.8556197245668592	0.7019029756186219	0.1120445632881038	0.0434080444497274	0.3835527252464743		0.2703769059641362	0.3835527270536546	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_16	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	17	0.8934291942421954	0.873713403185614	0.8100739371534196	0.8276729559748428	0.6335030885837787	0.1399771222707431	0.0932012885937761	0.498435535464269		0.248444114815806	0.4984355389300644	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_17	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	18	0.9084852621113088	0.8916221489594812	0.8313308687615527	0.8375611927013796	0.6646200654655277	0.1238305404015649	0.0675763299595859	0.4417179873766362		0.2634852949756209	0.4417179878009225	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_18	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	19	0.9173302161739232	0.90250557464639	0.844731977818854	0.8539130434782609	0.6949756927724462	0.1149146453059153	0.056214928455432	0.401414534054645		0.2759082710723674	0.4014145328685669	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_19	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	20	0.9210659386840964	0.9073193707726313	0.8442698706099815	0.8518681318681318	0.6921917773813875	0.1164977594055214	0.0629359237809202	0.3984638163287372		0.2484698261412496	0.3984638156159307	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_20	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	21	0.9252424140958928	0.9071233739217496	0.8544362292051756	0.8610498456109396	0.7121063244099631	0.1075234278180757	0.0466719769962659	0.3782544812262076		0.2637108226975163	0.3782544794067217	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_21	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	22	0.9177312500640628	0.903865366113549	0.8414972273567468	0.8457040035987404	0.6840121235976825	0.1152266097345642	0.0561663506962006	0.4001638575185471		0.2766379072529032	0.4001638569805406	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_22	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	23	0.9226017404614582	0.9180531328267932	0.8364140480591498	0.845414847161572	0.6774370825833108	0.115681152585986	0.0544485418455589	0.3753595093502608		0.2713272002589953	0.3753595075633741	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_23	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	random	24	0.9136615461885124	0.8866188490091308	0.8484288354898336	0.8523852385238524	0.6978610216099306	0.1142476309089868	0.047965851416831	0.4215944219650818		0.2710879510373985	0.4215944233090511	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_24	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	0	0.8994387805283381	0.8762921888636352	0.8273480662983426	0.8302399275690358	0.6550764374464216	0.1264892741568609	0.058702643633075	0.4609771378386014		0.2482287385250102	0.4609771420283871	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_0	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	1	0.8989282212932831	0.8878299029877927	0.8251845018450185	0.8242929995363931	0.650402491765322	0.1337341858701667	0.0683314569309838	0.4695662385582888		0.2619131027770588	0.4695662425562904	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_1	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	2	0.9104504236658244	0.891745892971056	0.8327188940092166	0.838163174320107	0.6669490551310933	0.121577668543767	0.0601814006605891	0.4258674415903339		0.2675142393680397	0.4258674433703796	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_2	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	3	0.8990176194011797	0.8789169677001422	0.8220494053064958	0.8211494252873563	0.6441314318586003	0.1352198428194555	0.0862315259584937	0.516744581023642		0.2471211965076346	0.5167445821273469	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_3	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	4	0.9041342988808426	0.8869361041771492	0.832258064516129	0.8330275229357799	0.6645443546674503	0.1258900332790432	0.0628884416980146	0.4358387589399925		0.2616102151087021	0.4358387620218338	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_4	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	5	0.919310187542068	0.9035176302943952	0.844731977818854	0.8491921005385996	0.690673239967421	0.1140814703556807	0.0530446562308889	0.3903379145053346		0.2597292740767975	0.3903379141182644	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_5	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	6	0.9019873150826718	0.874955487960585	0.8333333333333334	0.8324825986078886	0.6667010573501113	0.1268081282327916	0.0652235284910273	0.4593651884522648		0.2497743555721646	0.4593651876169999	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_6	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	7	0.9007606746149196	0.8854163815402604	0.8356290174471993	0.8354779411764706	0.671259166942373	0.1293797397462747	0.0781796446315807	0.4758901488533667		0.26376777532916	0.4758901590048665	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_7	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	8	0.9062248812103822	0.8873357360194261	0.8305709023941068	0.8374558303886925	0.6635270108545408	0.1232004413296613	0.0576222117691089	0.4401062775700239		0.259052093153055	0.4401062793659241	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_8	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	9	0.882762426839562	0.8484737660720247	0.8140495867768595	0.8122392211404729	0.6282159895185653	0.1431699716133786	0.0767802663359616	0.5199247088991124		0.2497794162007958	0.5199247061542626	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_9	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	10	0.8965899721561419	0.8702017347422467	0.8308823529411765	0.834681042228212	0.6624646194206236	0.1284034965677509	0.0633898212352331	0.4758334969950257		0.264214163242378	0.4758335008998127	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_10	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	11	0.904024719148846	0.8790044258544751	0.8373271889400922	0.8401991851516524	0.6750906346432477	0.1231641402125787	0.0582135629254724	0.4545982348713034		0.2510668175864208	0.4545982325681343	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_11	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	12	0.8930825424490406	0.8671236409327189	0.8178044280442804	0.821991888237945	0.6363134898553737	0.1357753153524821	0.0748727625506336	0.4727788703401497		0.264221188141563	0.4727788732500533	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_12	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	13	0.9014732070447666	0.8837604240756362	0.8359375	0.8349514563106796	0.6719229660444053	0.1289891704262387	0.0704660316484354	0.4786418169522266		0.262881925608338	0.4786418175653499	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_13	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	14	0.9075328600079952	0.8902745414156183	0.8294824399260629	0.8423750533959846	0.6679629517351643	0.1252418605487872	0.0716976856301873	0.4357562331129072		0.2538047842586748	0.4357562351579366	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_14	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	15	0.9157370086432076	0.9012292249000692	0.8497695852534562	0.8540734109221128	0.7007593328792048	0.1153837029003794	0.0527404469062197	0.3982918318257615		0.2519686457994246	0.398291832497043	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_15	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	16	0.900936581097443	0.8767936386649291	0.8365561694290976	0.8471803702109342	0.6797147928382502	0.1265584665930532	0.070977915574565	0.4538231306905878		0.256396490362166	0.4538231372943021	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_16	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	17	0.8966870073561318	0.8799711755711196	0.8179297597042514	0.8189338235294118	0.6358986286342785	0.1365487874430891	0.0806524636122809	0.4934591857919308		0.2474715740063444	0.4934591874617966	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_17	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	18	0.88772952597859	0.8633892430930206	0.8152573529411765	0.8197309417040358	0.6312927392661887	0.1442537275901876	0.0944833630886679	0.5491597844647967		0.2398443505660875	0.5500413161866805	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_18	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	19	0.9080530509325854	0.8843033199498774	0.8350277264325323	0.8352561144439317	0.670058028422517	0.1242054328836477	0.0680734978136939	0.4530216555392489		0.2507941837563033	0.4530216572520473	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_19	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	20	0.906319935356241	0.8880011092947114	0.839648798521257	0.8486698648059311	0.6841775463255638	0.1248123874440158	0.0754771056181179	0.4760227682489734		0.2561299965752826	0.4760227700258139	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_20	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	21	0.9046935889217872	0.8862255765751753	0.8416206261510129	0.8456014362657092	0.6841514330247452	0.1213084762029305	0.043971139882511	0.4149739283881974		0.2855036696188712	0.4149739301007097	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_21	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	22	0.885169775284354	0.854647105553391	0.8183918669131238	0.8249443207126949	0.6385756083713491	0.141845860493271	0.0855959549562138	0.5385316355367898		0.2576386588643896	0.5385316363819866	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_22	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	23	0.9003593463460267	0.8851636957707408	0.8256130790190735	0.8290293855743545	0.6517468167557491	0.1326559400934749	0.0781259153653659	0.4996258425807403		0.2422702945578679	0.4996258466488442	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_23	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	mirna_cold	24	0.8975650964702184	0.8810631905247547	0.8211645101663586	0.8240109140518418	0.6426653383240333	0.1311098343747282	0.0704729984556315	0.4762257097580425		0.261013498308202	0.4762257113364179	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_24	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	drug_cold	0	0.5785255936909263	0.54898526338741	0.5302309782608695	0.4082156611039794	0.066367385349702	0.3744322997864014	0.3330926787755244	1.5575755599015155		0.2538810397660741	1.5588592807559862	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/drug_cold/seed_0	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	drug_cold	1	0.4883880742337937	0.5478754008223223	0.5337026777469991	0.2937062937062937	0.091884397764772	0.400381803110652	0.3596623315137016	2.3870455786542832		0.2631532283234728	2.3870455953993406	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/drug_cold/seed_1	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	drug_cold	2	0.5493451088439587	0.549238628661858	0.5415035238841034	0.3439775910364145	0.1039731482654298	0.3883771459236307	0.3455060401735179	2.2989779224049776		0.2674774866015887	2.2989779455337844	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/drug_cold/seed_2	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	drug_cold	3	0.5006782608695651	0.5246577707958071	0.5230434782608696	0.2954399486191393	0.0603814249805643	0.3982994912837022	0.3506576921007505	2.151902001452551		0.2637097811130984	2.1519019981570864	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/drug_cold/seed_3	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	drug_cold	4	0.4176031087875328	0.4459177477884198	0.4720068906115418	0.131728045325779	-0.0901543001642293	0.4661848151357933	0.4455656823514604	3.3137209999994965		0.2601613405311809	3.31664644229217	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/drug_cold/seed_4	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	drug_cold	5	0.5580482207554338	0.5814474910470454	0.538664323374341	0.3613138686131387	0.0929866882705764	0.3774039247650654	0.3324992574769864	1.654529136291776		0.2587824418265507	1.6545291386924434	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/drug_cold/seed_5	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	drug_cold	6	0.5459494248583454	0.5340598854882537	0.5174013921113689	0.3354632587859425	0.0415921179868243	0.4064797750702453	0.3731285797851857	2.0098967453410954		0.2724159876515183	2.0098967487186954	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/drug_cold/seed_6	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	drug_cold	7	0.4636412405043464	0.5185735712250055	0.4858407079646017	0.3671023965141612	-0.0305507671798225	0.4006539636379972	0.3564087522743557	1.6975815096282358		0.2643595753610482	1.697581505247977	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/drug_cold/seed_7	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	drug_cold	8	0.3965044938271605	0.4270170088625241	0.4391111111111111	0.1484480431848853	-0.1666522387181496	0.4981065091999249	0.4885154255589929	3.1277293435217315		0.239196006789268	3.128739078786638	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/drug_cold/seed_8	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
ISG-MDA	MDA	MDR	drug_cold	9	0.5318244095907698	0.5362233486824002	0.5112403100775194	0.2847419171866137	0.0290492657566616	0.3913203917136981	0.3510189696463957	1.5375727729301432		0.263733699530891	1.537572774914808	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/drug_cold/seed_9	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv	
